,AGE,GENDER,DOMAIN,PHD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1,PU2,PU3,PEU1,PEU2,PEU3,ENJ1,ENJ2,QU1,QU2,QU3,QU4,QU5,VIS1,VIS2,VIS3,IM1,IM2,IM3,SA1,SA2,SA3,USE1,USE2,USE3,USE4,USE5,PF1,PF2,PF3,JR1,JR2,BI1,BI2,INC1,INC2,INC3,INC4,EXP1,EXP2,EXP3,EXP4,EXP5
22,38,0,1.0,0,10.0,1,4.0,,,0.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0
24,38,0,5.0,1,14.0,1,2.0,,,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0
25,40,0,6.0,0,9.0,1,4.0,,,0.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0
26,33,0,5.0,1,6.0,1,2.0,,,0.0,2.0,3.0,2.0,5.0,5.0,,5.0,5.0,4.0,5.0,3.0,4.0,3.0,,,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,1.0,1.0
27,38,0,1.0,1,5.0,1,3.0,,,0.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0
28,35,0,6.0,0,10.0,1,3.0,,,0.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0
29,39,0,4.0,1,10.0,1,3.0,,,0.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0
32,41,0,6.0,1,10.0,1,3.0,,,0.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0
34,51,0,6.0,0,,1,3.0,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0
35,49,0,6.0,1,10.0,1,2.0,,,0.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0
36,43,0,6.0,0,9.0,1,4.0,,,0.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
37,38,0,1.0,1,12.0,1,2.0,,,0.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0
38,43,0,6.0,1,14.0,1,2.0,,,0.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0
40,37,0,1.0,1,9.0,1,2.0,,,0.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0
41,46,0,6.0,1,18.0,1,3.0,,,0.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0
42,36,0,5.0,1,14.0,1,2.0,,,0.0,3.0,3.0,3.0,4.0,,2.0,3.0,5.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0
43,39,0,1.0,1,10.0,1,2.0,,,0.0,3.0,3.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,2.0,4.0,,,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,
45,33,0,6.0,1,7.0,1,2.0,,,0.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
46,33,0,6.0,0,5.0,1,4.0,,,0.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,,3.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0
47,34,0,4.0,1,11.0,1,2.0,,,0.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,1.0,2.0
48,59,0,2.0,1,36.0,1,1.0,,,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,1.0,2.0
50,34,0,4.0,1,7.0,1,2.0,,,0.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0
51,41,0,6.0,1,15.0,1,3.0,,,0.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0
52,43,0,5.0,0,19.0,1,4.0,,,0.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0
53,43,0,3.0,0,4.0,1,4.0,,,0.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0
55,32,0,4.0,0,7.0,1,4.0,,,0.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0
56,52,0,1.0,1,10.0,1,3.0,,,1.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0
57,31,0,6.0,1,10.0,1,3.0,,,0.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0
58,37,0,6.0,1,11.0,1,3.0,,,0.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
59,33,0,4.0,1,5.0,1,3.0,,,0.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,3.0
61,52,0,6.0,1,23.0,1,2.0,,,1.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0
62,62,0,1.0,1,17.0,1,2.0,,,1.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0
64,42,0,6.0,1,20.0,1,2.0,,,0.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0
68,50,0,1.0,1,23.0,1,2.0,,,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0
69,48,0,1.0,1,16.0,1,2.0,,,0.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,4.0
71,51,0,1.0,1,13.0,1,2.0,,,0.0,3.0,2.0,2.0,2.0,2.0,,3.0,2.0,5.0,4.0,2.0,3.0,4.0,,,2.0,2.0,3.0,,4.0,5.0,5.0,3.0,3.0,4.0,,4.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0
73,42,0,3.0,1,12.0,1,3.0,,,0.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0
74,44,0,4.0,1,17.0,1,2.0,,,0.0,2.0,4.0,4.0,4.0,4.0,,3.0,,4.0,4.0,4.0,2.0,,,,3.0,,,,4.0,,,3.0,,3.0,,4.0,1.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0
75,53,1,1.0,1,6.0,1,2.0,,,0.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,3.0
79,47,1,6.0,0,20.0,1,3.0,,,0.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0
80,39,1,6.0,1,18.0,1,3.0,,,0.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0
81,38,1,1.0,1,12.0,1,3.0,,,0.0,3.0,4.0,3.0,5.0,,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0
83,42,1,6.0,0,3.0,1,4.0,,,0.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0
84,46,1,4.0,1,16.0,1,3.0,,,0.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0
85,40,1,6.0,1,12.0,1,3.0,,,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0
87,36,1,6.0,1,10.0,1,2.0,,,0.0,2.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,2.0
